iter	Passed	Remaining
925	2160	172
926	2162	170
927	2163	167
928	2164	165
929	2166	163
930	2167	160
931	2169	158
932	2171	155
933	2173	153
934	2174	151
935	2176	148
936	2178	146
937	2180	144
938	2181	141
939	2184	139
940	2185	137
941	2187	134
942	2188	132
943	2190	129
944	2191	127
945	2194	125
946	2195	122
947	2197	120
948	2199	118
949	2201	115
950	2203	113
951	2205	111
952	2207	108
953	2208	106
954	2210	104
955	2211	101
956	2212	99
957	2215	97
958	2217	94
959	2218	92
960	2221	90
961	2223	87
962	2225	85
963	2227	83
964	2228	80
965	2230	78
966	2231	76
967	2233	73
968	2234	71
969	2235	69
970	2260	67
971	2262	65
972	2264	62
973	2266	60
974	2268	58
975	2270	55
976	2272	53
977	2274	51
978	2275	48
979	2278	46
980	2281	44
981	2282	41
982	2284	39
983	2286	37
984	2289	34
985	2290	32
986	2291	30
987	2293	27
988	2295	25
989	2296	23
990	2298	20
991	2302	18
992	2303	16
993	2305	13
994	2307	11
995	2310	9
996	2314	6
997	2315	4
998	2316	2
999	2318	0
